,id_question,question_description,subquestion_description,abbreviated_question
569,717,In which of the following associations / organizations have you been active in the past 12 months? Sports association,At school / education / childcare,Active at school/education/childcare
570,718,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I feel at home with the people who live in the area.,Feel at home with the people who live in the area
571,719,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The safety,Security has changed in my neighborhood
572,720,To what extent do you agree with the following statements?,"In the past year I have helped family, friends or neighbors more often","Helped family, friends or neighbors more often"
573,721,Where or when was this?,When finding a (rental) house (recalculated without N/A),Unfairly/unequally treated when finding a (rental) house (recalculated without N/A)
574,724,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
575,726,What were the main reasons you moved at the time?,Family expansion,Moved for family expansion
576,848,Why didn't you report it to the municipality?,It was already resolved,"Didn't report, was already resolved"
577,727,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,play facilities (for children up to 12 years old),Satisfied with the range of play facilities in the area
578,728,Can you manage well when it comes to:,household chores,Copes well with household chores
579,729,Are you someone who,quickly gets upset if something goes wrong or is unclear,Gets upset quickly
580,730,In which of the following associations / organizations have you been active in the past 12 months? Sports association,I have not been active in club life,Not active in community life
581,731,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction to cars and theft from,Been a victim of damage/destruction to cars
582,732,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,healthcare facilities,Satisfied with the range of health care facilities in the area
583,733,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the care of residents for their home and garden,Satisfied with the care of residents for their home and garden
