VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
490,Kunt u zich goed redden als het gaat om: ,administratie/financidn (herberekend zonder nvt),Kan zich goed redden met administratie/financiën (herberekend zonder nvt)
491,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Sportieve activiteiten (zelf sporten of sportwedstrijden bezoeken).,Vaak sportieve activiteiten gedaan
492,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Religieuze of maatschappelijke vereniging,Actief bij religieuze of maatschappelijke vereniging
493,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Leeftijd (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op leeftijd (herberekend zonder nvt)
494,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt? (herberekend zonder nvt/nee),(herberekend zonder nvt/nee),Toename van overlast door mensen met verward gedrag
495,Voelt u zich wel eens eenzaam of alleen?,,Voel me eenzaam of alleen
496,Hoe lang woont u in uw huidige woning?,,Hoe lang woont u in uw huidige woning?
497,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt? (herberekend zonder nvt),(herberekend zonder nvt/nee),Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt (herberekend zonder nvt)
498,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege zorg voor familielid (mantelzorg),Verhuisd vanwege zorg voor familielid
499,"Beantwoord deze vraag alleen als u, of iemand anders in uw huishouden, weleens te maken heeft gehad met verkoopfraude in de afgelopen 12 maanden. Heeft u, bij de laatste keer dat dit gebeurde, de goederen/diensten gekocht of verkocht via het internet of e",,Heeft goederen/diensten gekocht of verkocht via internet
500,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben gepensioneerd/met prT-pensioen.,Ben gepensioneerd/met pré-pensioen
501,Heeft u voor uw woning:,Heeft u: een werkende rookmelder,Werkende rookmelder voor mijn woning
502,Waar of wanneer was dit? ,Op School / opleiding / stage,Oneerlijk/ongelijk behandeld op school/opleiding/stage
503,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege de woning zelf,Verhuisd vanwege de woning  zelf
504,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt?,,Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt
505,Wat vindt u van de volgende stellingen over uw huidige woning?,Het is een prettige woning.,Prettige woning
506,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het organiseren van (sociale en of jeugd-) activiteiten voor de buurt.,Helpen met organiseren van activiteiten voor de buurt
507,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",mensen in de buurt,Kan terugvallen op mensen in de buurt
508,In wat voor type woning woonde u hiervoor?,,
509,Wat moeten we zeker behouden in deze buurt?,Open antwoord bij gesloten vraag,
510,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Mensen met opvallend veel geld/dure spullen zonder (goedbetaalde) baan,Mensen met opvallend veel geld/dure spullen zonder (goedbetaalde) baan komen voor in de buurt
511,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uzelf,Zelf te maken gehad met cyberpesten
512,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Woonomgeving / woonbuurt,Verhuisd vanwege omgeving/woonbuurt
513,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geen geld kosten (wandelen, strand, het bos in, speeltuin).",Vaak uitstapjes gedaan die geen geld kosten
514,Voelt u zich wel eens eenzaam of alleen?,,Voel me eenzaam of alleen
515,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,Open antwoord bij gesloten vraag,
516,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning heeft dringend onderhoud nodig,Dringend onderhoud
517,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Sportieve activiteiten (zelf sporten of sportwedstrijden bezoeken).,Vaak sportieve activiteiten gedaan
518,In wat voor type woning woonde u hiervoor?,11 antwoorden,
519,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders (herberekend zonder nvt),Iets anders (herberekend zonder nvt)
520,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",mensen in de buurt,Kan terugvallen op mensen in de buurt
521,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,"welzijnsvoorzieningen, zoals buurtwerk, jongerenwerk e.d.",Tevreden over aanbod welzijnsvoorzieningen in de buurt
522,Voelt u zich wel eens onveilig in uw eigen buurt?,,Voelt zich wel eens onveilig in eigen buurt
523,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Te hard rijden,Te hard rijden komt (soms) vaak voor in mijn buurt
524,Komt het wel eens voor dat u à,zich niet op uw gemak voelt als u Æs avonds alleen  thuis bent?,Voelt zich thuis ongemakkelijk alleen
525,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Drugslaboratoria,Drugslaboratoria komen voor in de buurt
526,Komt het wel eens voor dat u à,zich niet op uw gemak voelt als u Æs avonds alleen  thuis bent?,Voelt zich thuis ongemakkelijk alleen
527,Denkt u dat uw buurt de komende jaren vooruit of achteruit zal gaan?,,Buurt gaat vooruit de komende  jaren
528,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,aandacht voor buren in een zorgwekkende situatie,Geef aandacht aan buren in zorgwekkende situatie
529,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Straatmeubilair, zoals vuilnisbakken, bankjes en bushokjes, dat vernield is",Vernielde straatmeubilair komt (soms) vaak voor in mijn buurt
530,Wilt u zich opgeven voor,Vervolgonderzoek,Opgegeven voor vervolgonderzoek
531,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik verricht betaald werk voor minder dan 12 uur in de week (1-11 uur).,Verricht betaald werk (1-11uur per week)
532,Waardering dienstverlening gemeente (in het algemeen) in rapportcijfer.,,Rapportcijfer waardering dienstverlening gemeente
533,Kunt u zich goed redden als het gaat om:,administratie/financidn,Kan zich goed redden met administratie/financiën
534,"Beantwoord deze vraag alleen als u, of iemand anders in uw huishouden, weleens te maken heeft gehad met verkoopfraude in de afgelopen 12 maanden. Heeft u, bij de laatste keer dat dit gebeurde, de goederen/diensten gekocht of verkocht via het internet of e",,Heeft goederen/diensten gekocht of verkocht via internet
535,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in uw woning, met diefstal",Slachtoffer geweest van inbraak/diefstal in woning 
536,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof,Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie
537,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Jeugdcriminaliteit,Jeugdcriminaliteit komt (soms) vaak voor in mijn buurt
538,Wilt u zich opgeven voor,Verloting,Ogegeven voor verloting
539,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Culturele uitstapjes (theater, museum, filmfestival e.d.).",Vaak culturele uitstapjes gedaan
540,Wat is de hoogste opleiding die u met een diploma heeft afgerond?,,Wat is de hoogste opleiding die u met een diploma heeft afgerond?
541,Krijgt u ergens hulp bij?,Uw lichamelijke gezondheid,Krijg hulp bij lichamelijke gezondheid
542,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Verkoopfraude,Verkoopfraude voorgekomen in huishouden
543,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",familie,Kan terugvallen op familie
544,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in de toekomst,Meer vertrouwen gekregen in de toekomst
545,In welke huurklasse of prijsklasse (koopwoning) viel uw vorige woning?,13 antwoorden,
546,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Leeftijd (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op leeftijd (herberekend zonder nvt)
547,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rondhangende jongeren,Rondhangende jongeren komt (soms) vaak voor in mijn buurt
548,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Bedreiging met lichamelijk geweld,Slachtoffer geweest van bedreiging met lichamelijk geweld
549,Kunt u zich goed redden als het gaat om: ,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d. (herberekend zonder nvt)",Kan zich goed redden met algemene dagelijkse activiteiten (herberekend zonder nvt)
550,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben huisvrouw/huisman.,Ik ben huisvrouw/huisman
551,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Vrouwen en meisjes die op straat worden nagefloten, nageroepen, of op een andere manier ongewenst aandacht krijgen",Ongewenste aandacht op straat
552,Waar woonde u?,3 antwoorden,
553,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik voel me thuis bij de mensen die in de buurt wonen.,Voel me thuis bij de mensen die in de buurt wonen
554,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Fietsendiefstal,Slachtoffer geweest van fietsendiefstal
555,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de zorg van bewoners voor hun woning en tuin,Tevreden over de zorg van bewoners voor hun woning en tuin
556,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in mezelf,Meer vertrouwen gekregen in mezelf
557,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Mishandeling (buitenshuis),Slachtoffer geweest van mishandeling (buitenshuis)
558,Kunt u zich goed redden als het gaat om:,uw lichamelijke gezondheid,Kan zich goed redden met lichamelijke gezondheid
559,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
560,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?
561,In hoeverre kunt u zich vinden in de volgende uitspraken?,"In het afgelopen jaar ben ik actiever geworden in het vrijwilligerswerk (vereniging, kerk, politiek, buurtà)",Actiever geworden in vrijwilligerswerk
562,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik heb veel contact met andere buurtbewoners.,Veel contact met andere buurtbewoners
564,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik studeer/volg een opleiding/zit op school.,Studeer/volg een opleiding/zit op school
565,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
566,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
567,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt? (herberekend zonder nvt),(herberekend zonder nvt/nee),Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt (herberekend zonder nvt)
568,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,"hulp aan buren (helpen met klussen, boodschap e.d.)",Geef hulp aan buren
569,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,In de supermarkt of winkels,Ontmoet de mensen uit mijn buurt in de supermarkt of winkels
570,In welk soort woonomgeving woont u op dit moment?,Open antwoord bij gesloten vraag,
571,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,"Iets anders, namelijk",
572,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Meedenken met buurtgenoten over de toekomst van de buurt.,Meedenken met buurgenoten over de toekomst van de buurt
573,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,"Vanwege de buren (ruzie, irritatie, overlast)",Verhuisd vanwege de buren
574,Wat moeten we zeker behouden in deze buurt?,Open antwoord bij gesloten vraag,
575,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een huurwoning in plaats van een koopwoning,Verhuisd om te huren in plaats van te kopen
576,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt? (herberekend zonder nvt),(herberekend zonder nvt/nee),Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt (herberekend zonder nvt)
577,Beantwoord deze vraag alleen als uw kind / (TTn van) uw kinderen te maken gehad hebben met cyberpesten in de afgelopen 12 maanden. Wat was de leeftijd van uw kind tijdens de laatste keer dat dit gebeurde?,,Leeftijd van kind die te maken heeft gehad met cyberpesten
578,Krijgt u ergens hulp bij?,Uw psychische / geestelijke gezondheid,Krijg hulp bij psychische/geestelijke gezondheid
579,Krijgt u ergens hulp bij?,Boodschappen doen,Krijg hulp bij boodschappen doen
580,Deze vraag gaat over uw inkomen. In welke categorie valt het netto inkomen per maand van uw huishouden?  Dat is het netto inkomen per maand waarover het huishouden van u en uw eventuele partner beschikt. Het inkomen van eventuele kinderen telt niet mee.,6 antwoorden,
581,Hoeverre kunt u het leven leidien zoals u dat wilt,,
582,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
583,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,"welzijnsvoorzieningen, zoals buurtwerk, jongerenwerk e.d.",Tevreden over aanbod welzijnsvoorzieningen in de buurt
584,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Bij elkaar thuis,Ontmoet de mensen uit mijn buurt bij elkaar thuis
585,Waarom heeft u geen melding gedaan bij de gemeente?,Dit is geen zaak voor de gemeente,Geen zaak  voor de gemeente
586, Wilt u bij het liefst gaan kopen of huren?,,Wilt het liefst kopen of huren
587,Wilt u binnen twee jaar verhuizen?,,Wilt binnen 2 jaar verhuizen
588,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het onderhoud van het openbaar groen.,Helpen met onderhoud van het openbaar groen
